id,question,option1,option2,option3,option4,correctAnswer,rationale
Question 1,"According to the introduction slides, the endocrine system helps coordinate which body function?",Blood clotting only,Metabolism,Hearing,Vision only,B,"The introduction slide states that the endocrine system coordinates metabolism, growth and development, blood glucose control, and sexual functioning."
Question 2,Which concept explains how endocrine glands decrease hormone secretion once enough hormone is present?,Positive pressure,Negative feedback,Osmotic shift,Diffusion gradient,B,The introduction slide specifically lists the negative feedback system as a key principle of endocrine regulation.
Question 3,The parathyroid glands secrete which hormone?,Calcitonin,TSH,Parathyroid hormone,ADH,C,"The parathyroid gland slide states that the parathyroid glands secrete parathyroid hormone, or PTH."
Question 4,Parathyroid hormone is secreted in response to which finding?,Low calcium levels,High potassium levels,High glucose levels,Low sodium levels,A,The slide states that parathyroid hormone is secreted in response to low calcium levels.
Question 5,Parathyroid hormone increases calcium absorption in which areas?,"Heart, lungs, and liver","Bones, kidneys, and intestine","Skin, brain, and spleen","Pancreas, stomach, and colon",B,"The teacher's slide says PTH increases calcium absorption in the bones, kidneys, and intestine."
Question 6,Gonadotropin-releasing hormone from the hypothalamus stimulates the anterior pituitary to release which two hormones?,T3 and T4,ACTH and cortisol,FSH and LH,Insulin and glucagon,C,The gonads slide states that gonadotropin-releasing hormone stimulates the anterior pituitary to release follicle-stimulating hormone and luteinizing hormone.
Question 7,"In the male, FSH and LH stimulate production of which hormone according to the gonads slide?",Estrogen,Progesterone,Testosterone,Thyroxine,C,"The gonads slide states that in the male, FSH and LH stimulate production of testosterone."
Question 8,"The teacher emphasized that in females, FSH and LH stimulate production of estrogen and progesterone, which influence:",Kidney filtration only,Ovarian maturation and ovulation,Liver detoxification,Platelet formation,B,The slide specifically lists ovarian maturation and ovulation as effects of estrogen and progesterone in females.
Question 9,The pancreas has both endocrine and exocrine function and helps control blood glucose with which hormones?,ACTH and cortisol,Insulin and glucagon,T3 and T4,FSH and LH,B,The pancreas slide lists insulin and glucagon as the hormones involved in blood glucose control.
Question 10,"When taking an endocrine history, which finding did the teacher specifically include as important to ask about?",Hand dominance,Sleep pattern,Favorite foods only,Visual acuity only,B,The assessment slide lists sleep pattern as one of the important history areas.
Question 11,"During the physical assessment of a patient with a possible thyroid disorder, the nurse should auscultate the thyroid for which sound?",Crackles,Murmur,Bruit,Friction rub,C,The physical assessment slide specifically says to auscultate the thyroid for a bruit.
Question 12,"When palpating the thyroid, which characteristics should the nurse assess?",Pupil response and gait,"Size, symmetry, shape, nodules, and texture",Reflexes and hearing,Peripheral pulses only,B,"The physical assessment slide lists size, symmetry, shape, nodules, and texture."
Question 13,Which laboratory studies were stressed as the major thyroid hormone tests?,"BUN, creatinine, and calcium","TSH, T3, and T4","Hgb, Hct, and platelets","AST, ALT, and bilirubin",B,"The diagnostic studies slide specifically lists TSH, T3, and T4."
Question 14,"Which imaging study did the lecture repeatedly emphasize as an easy, noninvasive way to look at endocrine organs such as the thyroid?",PET scan,Ultrasound,Bone scan,Angiography,B,The lecture repeatedly stressed ultrasound as the easiest noninvasive imaging study for many endocrine organs.
Question 15,The hypothalamus is best described as:,A gland above the kidneys,The structure under the thalamus that regulates other endocrine glands,The posterior thyroid lobe,A pancreatic structure that secretes insulin,B,The hypothalamus and pituitary slide states that the hypothalamus is under the thalamus and its hormones act directly on other endocrine glands.
Question 16,The pituitary gland is located where?,At the base of the brain,In the thyroid,On top of each kidney,In the left upper quadrant of the abdomen,A,The pituitary slide states that the pituitary gland is located at the base of the brain.
Question 17,Hypopituitarism usually becomes clinically obvious after what happens?,The posterior pituitary enlarges,The majority of the anterior pituitary becomes nonfunctional or destroyed,The thyroid gland is removed,The adrenal medulla stops making catecholamines,B,The hypopituitarism slide states that onset is gradual and occurs after the majority of the anterior pituitary is nonfunctional or destroyed.
Question 18,Which finding is most consistent with low ACTH in hypopituitarism?,Hypernatremia,Hypoglycemia,Polyuria,Hypercalcemia,B,The ACTH hypopituitarism slide lists hypoglycemia as a manifestation of decreased glucocorticoids.
Question 19,"A patient with hypopituitarism develops hyponatremia, hypotension, and hyperkalemia. Deficiency of which hormone is most related to these findings?",Growth hormone,ACTH,FSH,TSH,B,"The ACTH slide links decreased mineralocorticoids with hyponatremia, hypotension, and hyperkalemia."
Question 20,Which finding is expected with growth hormone deficiency in hypopituitarism?,Increased bone density,Decreased bone density,Exophthalmos,Hypertension,B,"The growth hormone hypopituitarism slide states decreased bone density, decreased muscle strength, and increased fracture risk."
Question 21,A female patient with hypopituitarism has irregular menses and decreased ovulation. This is most related to deficiency of:,LH,ADH,Calcitonin,Insulin,A,The luteinizing hormone slide lists irregular menses or amenorrhea and decreased ovulation in females.
Question 22,A male patient with hypopituitarism has decreased sperm production. Which pituitary hormone deficiency is most related?,TSH deficiency,FSH deficiency,ACTH deficiency,ADH deficiency,B,"The FSH slide states that in males, decreased sperm production is associated with low follicle-stimulating hormone."
Question 23,"A patient with hypopituitarism has weight gain, thinning hair, and decreased libido due to low T3 and T4. Which hormone is deficient?",TSH,PTH,GH,Prolactin,A,"The TSH slide lists decreased T3 and T4, decreased metabolic rate, weight gain, thinning of hair, and decreased libido."
Question 24,Which diagnostic tests are specifically listed for hypopituitarism?,"ACTH stimulation test, hormone levels, CT, and MRI",Only chest x-ray and ECG,Only thyroid ultrasound,Urine catecholamines only,A,"The diagnosis slide lists ACTH stimulation test, TSH/FSH/LH/prolactin/growth hormone, CT scan, and MRI."
Question 25,What is the major life-threatening complication emphasized with panhypopituitarism?,Hyperthermia,Seizures from hypercalcemia,Severe hypotension and circulatory collapse,Kidney stones,C,The complications slide states patients are at risk for severe hypotension and circulatory collapse due to lack of ACTH and aldosterone production.
Question 26,Which nursing action was emphasized for hypopituitarism with decreased growth hormone?,Restrict calcium,Increase vitamin D and calcium intake,Encourage bed rest only,Avoid physical therapy,B,The nursing actions slide says to increase vitamin D and calcium intake to treat osteoporosis secondary to decreased growth hormone.
Question 27,The teacher emphasized that patients taking hormone supplements for hypopituitarism should usually take them when?,At bedtime,At noon with lunch,In the morning,Only on alternating days,C,The teaching slide states to take hormone supplements in the morning to mimic normal release.
Question 28,Hyperpituitarism is usually related to what cause?,Autoimmune destruction,Hypersecreting tumor,Lack of iodine intake,Loss of parathyroid tissue,B,The hyperpituitarism slide states it is usually related to a hypersecreting tumor.
Question 29,Which condition can result from excess growth hormone in an adult?,Tetany,Acromegaly,Myxedema,Addisonian crisis,B,The slide on characteristics of acromegaly states that acromegaly in adults is due to excess growth hormone production.
Question 30,Which findings are expected with excess ACTH in hyperpituitarism?,Hypoglycemia and hypotension,"Hyperglycemia, hypernatremia, hypertension, and hypokalemia",Low metabolic rate and weight gain,Tetany and laryngospasm,B,"The ACTH hyperpituitarism slide lists hyperglycemia, increased cortisol, hypernatremia, hypertension, and hypokalemia."
Question 31,Which assessment finding best matches excess TSH in hyperpituitarism?,Weight gain and cold intolerance,Decreased T3 and T4,Weight loss and exophthalmos,Bronzed skin,C,"The TSH hyperpituitarism slide lists increased T3/T4, increased metabolic rate, weight loss, and exophthalmos."
Question 32,Which medications inhibit release of anterior pituitary hormones and growth hormone in hyperpituitarism?,Levothyroxine and insulin,Dopamine agonists and somatostatin analogs,Calcium gluconate and vitamin D,Furosemide and oral phosphates,B,The medications slide lists dopamine agonists and somatostatin analogs.
Question 33,Which surgical procedure was emphasized as treatment for hypersecreting pituitary tumors?,Parathyroidectomy,Adrenalectomy,Transsphenoidal hypophysectomy,Whipple procedure,C,The surgical management slide lists transsphenoidal hypophysectomy for pituitary tumor removal.
Question 34,"After transsphenoidal hypophysectomy, which finding suggests postoperative diabetes insipidus?",Weight gain with concentrated urine,"Hypotension, tachycardia, and large amounts of dilute urine",Bradycardia with edema,Tetany and positive Chvostek sign,B,The post-op slide states hypotension and tachycardia may be seen with DI and intake/output shows large amounts of dilute urine.
Question 35,Which urine-specific gravity strongly suggests diabetes insipidus after pituitary surgery?,1.03,1.02,Less than 1.005,Greater than 1.040,C,The slides repeatedly emphasize urine-specific gravity less than 1.005 as a key indicator of DI.
Question 36,Which medication may be ordered after transsphenoidal hypophysectomy to treat diabetes insipidus?,Methimazole,Desmopressin,Hydrocortisone,Aminoglutethimide,B,The post-op and DI slides state that desmopressin or vasopressin may be given to cause water reabsorption.
Question 37,Which patient teaching is correct after transsphenoidal hypophysectomy?,Cough forcefully every hour,Bend at the waist to reduce stiffness,Report any increase in clear nasal drainage,Use a hard toothbrush for oral care,C,The teaching slide states to report increased clear fluid from the nose because it may indicate a CSF leak.
Question 38,Central diabetes insipidus is caused by:,Excess insulin from the pancreas,Lack of ADH production related to the hypothalamus/posterior pituitary,Excess parathyroid hormone,Thyroid hormone excess,B,The DI slide states central DI involves decreased ADH from the posterior pituitary and lack of ADH production in the hypothalamus.
Question 39,Which set of findings best matches diabetes insipidus?,"Polyuria, polydipsia, low urine specific gravity, and hypernatremia","Weight gain, bradycardia, and low sodium","Moon face, hypokalemia, and hypertension","Tetany, low calcium, and laryngospasm",A,"The DI slides emphasize polyuria, polydipsia, hypotension/tachycardia, hypernatremia, and urine specific gravity less than 1.005."
Question 40,Which statement best describes Addison's disease from the lecture?,Excessive circulating glucocorticoids,Adrenal cortical insufficiency with decreased glucocorticoids and mineralocorticoids,Excess catecholamine secretion,Excess thyroid hormone,B,The adrenal cortical insufficiency slides describe Addison's disease as decreased glucocorticoid and mineralocorticoid secretion.
Question 41,Which finding is classic for adrenal cortical insufficiency?,Moon face,Bronzed hyperpigmentation,Exophthalmos,Tetany,B,"The clinical manifestations slide for adrenal insufficiency lists darkened, bronzed hyperpigmentation."
Question 42,Which medication was emphasized as treatment for adrenal cortical insufficiency because it has both glucocorticoid and mineralocorticoid actions?,Methimazole,Hydrocortisone,Desmopressin,Levothyroxine,B,The adrenal insufficiency medication slide specifically states hydrocortisone has both glucocorticoid and mineralocorticoid actions.
Question 43,A patient in adrenal crisis needs which priority treatment according to the lecture?,Oral calcium,IV corticosteroid administration,Antithyroid medication,Eye lubricant,B,The lecture and adrenal insufficiency action slide stress that definitive treatment of acute adrenal insufficiency is IV cortisone/corticosteroid administration.
Question 44,"Which disorder is associated with moon face, buffalo hump, truncal obesity, hyperglycemia, and fluid retention?",Addison's disease,Cushing's disease,Hypothyroidism,Hypoparathyroidism,B,"The hypercortisolism slides emphasize abnormal fat distribution, moon face, buffalo hump, hyperglycemia, and fluid retention in Cushing's disease."
Question 45,Which lab abnormality was linked to adrenal cortex hyperfunction?,Hypoglycemia,Hypocalcemia,Hypokalemia,Low cortisol,C,The adrenal cortex hyperfunction slides repeatedly mention hypokalemia related to excess glucocorticoid/mineralocorticoid effect.
Question 46,Which clinical presentation is most classic for pheochromocytoma?,"Sudden hypertension, tachycardia, and severe headaches","Weight gain, bradycardia, and cold intolerance",Tetany and muscle spasms,Polyuria with dilute urine,A,"The pheochromocytoma slides list sudden hypertension, tachycardia, severe headaches, palpitations, and hyperhidrosis."
Question 47,What is the definitive treatment for pheochromocytoma?,Thyroidectomy,Adrenalectomy,Parathyroidectomy,Long-term levothyroxine,B,The pheochromocytoma surgical management slide states adrenalectomy is the definitive treatment.
Question 48,Which laboratory pattern is expected in primary hypothyroidism?,"Low TSH, high T3/T4","High TSH, low T3/T4","High calcium, low phosphate","Low sodium, high potassium",B,"The lecture repeatedly stressed that in primary hypothyroidism, TSH is high because the body is trying to stimulate more thyroid hormone, while T3/T4 are low."
Question 49,Which severe complication of hypothyroidism did the teacher stress as a major emergency?,Thyroid storm,Myxedema coma,Pheochromocytoma crisis,HHS,B,The hypothyroidism complication slide and lecture emphasize myxedema coma as the major emergency.
Question 50,"A patient has exophthalmos, weight loss, increased appetite, and insomnia. Which disorder best matches the slide sequence review?",Hypothyroidism,Hyperparathyroidism,Graves' disease/hyperthyroidism,Hypopituitarism,C,"The hyperthyroidism slides list weight loss, nervousness, insomnia, increased appetite, and exophthalmos, and the teacher stressed Graves' disease as the most common cause."
Question 51,A nurse is caring for clients at an urgent care clinic. Which of the following clients is most at risk for a thyroid storm?,A client who has type 1 diabetes mellitus and accidentally took too much insulin.,A client who has had their thyroid gland removed.,A client who has uncontrolled hyperthyroidism.,A client who has diabetic ketoacidosis.,C,Thyroid storm is a life-threatening complication of severe hyperthyroidism. The teacher linked thyroid storm with uncontrolled hyperthyroidism and hypermetabolic findings.
Question 52,Which of the following is a major function of the endocrine system?,Making antibodies to fight infection,Regulating body functions through hormones,Transmitting messages only through nerve impulses,Forming red blood cells in the bone marrow,B,"The lecture emphasized that the endocrine system regulates body functions through hormones, including metabolism, growth, blood glucose control, and sexual function."
Question 53,Which of the following should the nurse include when obtaining a health history for possible endocrine dysfunction?,Only current medications and allergies,"Sleep pattern, energy level, weight change, and reproductive function",Visual acuity and hearing only,Recent travel history and vaccination record,B,"The teacher specifically listed weight changes, sleep pattern, energy, elimination pattern, reproductive function, nutritional status, and family history as important endocrine assessment data."
Question 54,A nurse is assessing a client for thyroid disease. Which physical assessment should the nurse expect to perform?,Percuss the thyroid for tenderness,Auscultate the thyroid for a bruit,Measure capillary refill in the thyroid region,Palpate the thyroid only if the client reports pain,B,"The lecture emphasized auscultation of the thyroid for a bruit and palpation for size, symmetry, shape, nodules, and texture."
Question 55,Which diagnostic studies are commonly used to evaluate thyroid function according to the lecture?,Troponin and CK-MB,"TSH, T3, and T4",PT and INR,Amylase and lipase,B,"The teacher repeatedly emphasized TSH, T3, and T4 as key laboratory tests for thyroid dysfunction."
Question 56,A nurse is teaching a student about the hypothalamus and pituitary gland. Which statement by the student indicates understanding?,The pituitary gland controls the hypothalamus.,The hypothalamus is the boss and the pituitary is second in command.,The posterior pituitary causes most of the major endocrine problems.,The pituitary gland works independently of the hypothalamus.,B,The instructor described the hypothalamus as the big boss and the pituitary as second in command.
Question 57,Which pituitary lobe did the teacher emphasize as causing most major endocrine problems in this lecture?,Anterior pituitary,Posterior pituitary,Both equally,Neither lobe,A,The teacher specifically stated that the anterior pituitary is the portion that causes most of the major endocrine problems discussed.
Question 58,Which finding should the nurse expect in a client who has hypopituitarism related to decreased ACTH secretion?,Hypernatremia and hypertension,Hypoglycemia and hypotension,Weight loss with exophthalmos,Polyuria with elevated urine specific gravity,B,"Low ACTH decreases glucocorticoids and mineralocorticoids, leading to hypoglycemia, hyponatremia, hypotension, and hyperkalemia."
Question 59,A nurse is assessing a client who has hypopituitarism related to decreased growth hormone. Which finding is most expected?,Increased bone density,Decreased bone density and fracture risk,Moon face and buffalo hump,Hyperactivity and insomnia,B,"The lecture linked low growth hormone with decreased bone density, decreased muscle strength, and increased risk of bone fractures."
Question 60,A female client who has hypopituitarism related to decreased luteinizing hormone should be monitored for which finding?,Polyuria,Irregular menses or amenorrhea,Exophthalmos,Tetany,B,"The teacher emphasized that decreased LH in females can cause irregular menses, amenorrhea, and decreased ovulation."
Question 61,A male client who has hypopituitarism related to decreased follicle-stimulating hormone should the nurse expect to have which change?,Decreased sperm production,Increased testosterone,Hyperglycemia,Increased calcium level,A,The lecture stated that decreased FSH in males causes decreased sperm production.
Question 62,A client has low TSH due to hypopituitarism. Which effect should the nurse expect?,Increased metabolic rate,Weight loss and heat intolerance,Decreased T3 and T4 with slowed metabolism,Increased cortisol secretion,C,The teacher explained that low TSH from pituitary deficiency lowers T3 and T4 and causes hypothyroid-like slowing of metabolism.
Question 63,Which diagnostic test did the lecture identify as part of evaluating hypopituitarism?,Allen test,ACTH stimulation test,Tuberculin skin test,Serum troponin,B,The course slides and lecture identified ACTH stimulation testing as part of the medical evaluation for pituitary dysfunction.
Question 64,Which complication is the greatest concern in panhypopituitarism?,Fluid overload from excess aldosterone,Severe hypotension and circulatory collapse,Thyroid storm,Kidney stones,B,The teacher stressed that panhypopituitarism can lead to severe hypotension and circulatory collapse because of lack of ACTH and resulting sodium and water loss.
Question 65,A nurse is caring for a client who has hyperpituitarism caused by excess growth hormone. Which finding is most consistent with acromegaly?,Coarse facial features and enlarged hands,Weight gain with cold intolerance,Tetany and laryngospasm,Bronzed skin and hypotension,A,"The lecture linked excess growth hormone in adults with acromegaly, coarse facial features, enlarged hands and feet, and organomegaly."
Question 66,A client who has hyperpituitarism related to excess ACTH is most likely to develop which manifestation?,Hypotension and hyperkalemia,Hyperglycemia and hypertension,Weight loss with absent menses,Polyuria with low urine osmolality,B,"Excess ACTH increases glucocorticoids and mineralocorticoids, causing hyperglycemia, hypernatremia, hypertension, and hypokalemia."
Question 67,Which medication class did the lecture identify as a treatment for hyperpituitarism by inhibiting anterior pituitary hormone release?,Calcium supplements,Dopamine agonists,Thiazide diuretics,Antibiotics,B,The teacher discussed dopamine agonists such as bromocriptine as medications that inhibit release of anterior pituitary hormones.
Question 68,A nurse is preparing teaching for a client after transsphenoidal hypophysectomy. Which instruction is appropriate?,Cough deeply every 2 hours.,Bend at the waist when getting out of bed.,Use a soft toothbrush.,Limit all oral care.,C,"Postoperative teaching from the lecture included using a soft toothbrush and avoiding coughing, sneezing, and bending at the waist."
Question 69,The nurse is caring for a patient after transsphenoidal hypophysectomy. Which action takes priority?,Monitor urine output,Encourage coughing and deep breathing,Offer clear fluids frequently,Place the patient in Trendelenburg position,A,The lecture and the review questions emphasized monitoring urine output because postoperative diabetes insipidus is a major concern after transsphenoidal hypophysectomy.
Question 70,"After transsphenoidal hypophysectomy, which finding should the nurse report immediately because it may indicate a cerebrospinal fluid leak?",Dry mouth,Clear drainage from the nose,Mild headache,Decreased appetite,B,The teacher specifically warned that increased clear fluid from the nose after transsphenoidal surgery may indicate a CSF leak and increases the risk of meningitis.
Question 71,A client has diabetes insipidus. Which finding should the nurse expect?,Weight gain,Low urine output,High urine specific gravity,Excessive thirst,D,"The lecture emphasized that diabetes insipidus causes polyuria, polydipsia, nocturia, and very dilute urine. The review file identified excessive thirst as the expected finding."
Question 72,Which laboratory finding is a key indicator of diabetes insipidus?,Urine specific gravity greater than 1.030,Urine specific gravity less than 1.005,Serum calcium less than 8.5 mg/dL,TSH greater than normal,B,The teacher specifically emphasized urine specific gravity less than 1.005 as a key indicator of diabetes insipidus.
Question 73,Which urine osmolality finding supports a diagnosis of diabetes insipidus?,Less than 200 mOsm/kg,Between 300 and 500 mOsm/kg,Greater than 600 mOsm/kg,Greater than serum osmolality,A,The lecture identified urine osmolality less than 200 mOsm/kg as a key indicator of diabetes insipidus.
