id,question,option1,option2,option3,option4,correctAnswer,rationale
Question 74,Which medication should the nurse expect to administer to a client who has central diabetes insipidus?,Levothyroxine,Hydrocortisone,Desmopressin,Methimazole,C,"The lecture taught that desmopressin, a synthetic analog of ADH, is a major treatment for central diabetes insipidus."
Question 75,A client who has diabetes insipidus is at risk for which complication?,Fluid overload,Dehydration and hypovolemia,Hypercalcemia,Myxedema coma,B,"Because lack of ADH causes excessive free-water loss, the teacher emphasized dehydration and hypovolemia as major complications of DI."
Question 76,Which nursing action is appropriate for a client who has diabetes insipidus?,Restrict oral fluids,Provide adequate oral fluids if alert,Encourage a low-sodium diet to the point of dehydration,Hold all IV access,B,"The lecture emphasized adequate oral fluids when the patient is alert and awake, plus IV access and medication administration as needed."
Question 77,A nurse is teaching a student about Addison's disease. Which statement is correct?,It is caused by excessive cortisol secretion.,It is another name for adrenal cortical insufficiency.,It always causes hypernatremia.,It is commonly treated with antithyroid medications.,B,The teacher directly stated that adrenal cortical insufficiency is also known as Addison's disease.
Question 78,Which clinical manifestation is most consistent with adrenal cortical insufficiency?,Moon face,Darkened bronzed skin,Exophthalmos,Polyuria with dilute urine,B,"The lecture emphasized darkened, bronzed hyperpigmentation as a classic manifestation of Addison's disease."
Question 79,"A patient with Addison's disease is admitted with nausea, vomiting, tachycardia, and hypotension. What is the nurse's priority?",Administer IV hydrocortisone,Monitor glucose every 2 hours,Start a 24-hour urine collection,Encourage ambulation,A,"The teacher emphasized that acute adrenal insufficiency is treated with IV corticosteroids, especially hydrocortisone. The review question set used IV hydrocortisone as the priority action."
Question 80,"During an Addisonian crisis, which nursing intervention has the highest priority?",Monitor for infection,Administer IV fluids rapidly,Provide emotional support,Encourage ambulation,B,"In adrenal crisis, major problems are hypovolemia and hypotension. The review file emphasized rapid IV fluid administration as a top priority."
Question 81,A nurse is providing discharge teaching to a client prescribed long-term corticosteroids for adrenal insufficiency. Which statement indicates a need for further teaching?,I will take my medication at the same time each day.,I should not stop my medication suddenly.,I will report any signs of infection.,I can stop taking the medication once I feel better.,D,The lecture stressed that steroid replacement must be taken as prescribed and abrupt discontinuation can cause acute adrenal insufficiency.
Question 82,Which laboratory pattern should the nurse expect in adrenal cortical insufficiency?,Hyperglycemia and hypokalemia,Hypoglycemia and hyperkalemia,Hypernatremia and hypertension,Low TSH and high T4,B,"The teacher linked Addison's disease with hypoglycemia, hypotension, and hyperkalemia due to low cortisol and low aldosterone effects."
Question 83,Why should clients with adrenal insufficiency wear a medical alert bracelet?,To remind them to limit calcium intake,To reduce time to definitive treatment in an emergency,To monitor thyroid hormone levels,To prevent kidney stones,B,The lecture specifically taught that a medical alert bracelet reduces time to definitive treatment during an emergency such as adrenal crisis.
Question 84,A nurse is teaching a client who has adrenal insufficiency about hot weather. Which instruction is appropriate?,Decrease salt intake,Increase salt intake as directed,Stop corticosteroids on hot days,Restrict fluids to prevent edema,B,The teacher noted that clients with adrenal insufficiency may need increased salt intake in hot weather because sweating causes sodium and water loss.
Question 85,Which finding is most consistent with Cushing's syndrome?,Hypotension,Moon face,Weight loss,Hyperpigmentation,B,The review content and lecture both connected hypercortisolism with moon face and abnormal fat distribution.
Question 86,A client has hypercortisolism. Which additional finding should the nurse expect?,Decreased muscle mass,Tetany,Bronzed skin,Cold intolerance,A,"The lecture emphasized decreased muscle mass, fluid retention, hyperglycemia, and abnormal fat distribution in adrenal cortex hyperfunction."
Question 87,Which complication is associated with severe hypokalemia in adrenal cortex hyperfunction?,Laryngospasm,Cardiac dysrhythmias,Myxedema coma,Cerebrospinal fluid leak,B,"The lecture explained that excess mineralocorticoid/cortisol effects can lead to hypokalemia, which places the patient at risk for cardiac dysrhythmias."
Question 88,Which assessment finding is most important for the nurse to monitor in a client with hypercortisolism related to skin changes?,Skin thinning and poor wound healing,Trousseau's sign,Visual field changes only,Tongue deviation,A,"The lecture emphasized thinning, fragile skin and delayed wound healing as important findings in hypercortisolism."
Question 89,A nurse should suspect pheochromocytoma in a client with which manifestations?,"Bradycardia, hypothermia, and weight gain","Tachycardia, hypertension, and severe headache",Amenorrhea and infertility,Polyuria and dilute urine,B,"The teacher described pheochromocytoma as a catecholamine-secreting tumor causing tachycardia, hypertension, pounding headache, palpitations, sweating, and hyperglycemia."
Question 90,Which intervention is appropriate for a client who has pheochromocytoma?,Encourage ambulation to reduce blood pressure,"Maintain a calm, quiet environment",Place the client flat in bed without monitoring,Restrict all cardiac monitoring,B,"The lecture emphasized bedrest, cardiac monitoring, HOB elevation, and a calm, quiet environment to avoid more catecholamine release."
Question 91,Which clinical manifestation is most consistent with Graves' disease?,Bradycardia,Weight gain,Exophthalmos,Cold intolerance,C,The review question set and lecture both identified exophthalmos as a hallmark of Graves' disease.
Question 92,A nurse is caring for a client who has hyperthyroidism. Which finding should the nurse expect?,Weight gain and increased sleep,Weight loss and increased appetite,Cold intolerance and dry skin,Bradycardia and decreased respirations,B,"The teacher emphasized that hyperthyroidism causes a hypermetabolic state with weight loss despite increased appetite, nervousness, and insomnia."
Question 93,Which assessment finding may occur with hyperthyroidism during auscultation of the neck?,Diminished bowel sounds,Thyroid bruit,Absent heart sounds,Pleural friction rub,B,The lecture specifically stated that a thyroid bruit may be heard in clients with hyperthyroidism.
Question 94,Which lab pattern is expected in primary hypothyroidism?,Low TSH and high T4,High TSH and low T3/T4,High TSH and high T3/T4,Low TSH and low T4 only from adrenal disease,B,"The teacher repeatedly reviewed that in primary hypothyroidism, TSH rises because the body is trying to stimulate a low-functioning thyroid, while T3 and T4 are low."
Question 95,Which lab value would indicate effective treatment with levothyroxine in hypothyroidism?,Elevated TSH,Normalized TSH,Decreased T4,Elevated potassium,B,The review question set from the lecture identified normalized TSH as evidence of effective levothyroxine treatment.
Question 96,A nurse is teaching a client newly prescribed levothyroxine. Which instruction is correct?,Take the medication at bedtime with a meal.,Take the medication in the morning 30 minutes before a meal.,Stop the medication when symptoms improve.,Take the medication only on days when feeling tired.,B,"The lecture emphasized that levothyroxine should be taken in the morning, 30 minutes before meals, and is usually lifelong therapy."
Question 97,Which complication should the nurse recognize as a severe hypothyroid emergency?,Thyroid storm,Myxedema coma,Pheochromocytoma,Tetany,B,The teacher identified myxedema coma as the major complication of severe hypothyroidism.
Question 98,A client with severe hypothyroidism is especially sensitive to which medications?,Calcium supplements and vitamin D,"Sedatives, analgesics, and anesthetic agents",Insulin and glucagon,Antibiotics and antivirals,B,"The lecture stressed that clients with hypothyroidism are particularly sensitive to sedatives, analgesics, and anesthetic agents because metabolism is slowed."
Question 99,Which assessment finding indicates hypocalcemia after parathyroidectomy?,Constipation,Chvostek's sign,Polyuria,Weight gain,B,The review question set and lecture both used Chvostek's sign as an indicator of hypocalcemia after parathyroid or thyroid surgery.
Question 100,A patient with hyperparathyroidism is at risk for which complication?,Tetany,Kidney stones,Seizures,Laryngospasm,B,"The teacher emphasized that hyperparathyroidism increases calcium levels and can lead to renal calculi, making kidney stones a major complication."
Question 101,"According to the introduction slides, the endocrine system helps coordinate which body function?",Blood clotting only,Metabolism,Hearing,Vision only,B,"The introduction slide states that the endocrine system coordinates metabolism, growth and development, blood glucose control, and sexual functioning."
Question 102,Which concept explains how endocrine glands decrease hormone secretion once enough hormone is present?,Positive pressure,Negative feedback,Osmotic shift,Diffusion gradient,B,The introduction slide specifically lists the negative feedback system as a key principle of endocrine regulation.
Question 103,The parathyroid glands secrete which hormone?,Calcitonin,TSH,Parathyroid hormone,ADH,C,"The parathyroid gland slide states that the parathyroid glands secrete parathyroid hormone, or PTH."
Question 104,Parathyroid hormone is secreted in response to which finding?,Low calcium levels,High potassium levels,High glucose levels,Low sodium levels,A,The slide states that parathyroid hormone is secreted in response to low calcium levels.
Question 105,Parathyroid hormone increases calcium absorption in which areas?,"Heart, lungs, and liver","Bones, kidneys, and intestine","Skin, brain, and spleen","Pancreas, stomach, and colon",B,"The teacher's slide says PTH increases calcium absorption in the bones, kidneys, and intestine."
Question 106,Gonadotropin-releasing hormone from the hypothalamus stimulates the anterior pituitary to release which two hormones?,T3 and T4,ACTH and cortisol,FSH and LH,Insulin and glucagon,C,The gonads slide states that gonadotropin-releasing hormone stimulates the anterior pituitary to release follicle-stimulating hormone and luteinizing hormone.
Question 107,"In the male, FSH and LH stimulate production of which hormone according to the gonads slide?",Estrogen,Progesterone,Testosterone,Thyroxine,C,"The gonads slide states that in the male, FSH and LH stimulate production of testosterone."
Question 108,"The teacher emphasized that in females, FSH and LH stimulate production of estrogen and progesterone, which influence:",Kidney filtration only,Ovarian maturation and ovulation,Liver detoxification,Platelet formation,B,The slide specifically lists ovarian maturation and ovulation as effects of estrogen and progesterone in females.
Question 109,The pancreas has both endocrine and exocrine function and helps control blood glucose with which hormones?,ACTH and cortisol,Insulin and glucagon,T3 and T4,FSH and LH,B,The pancreas slide lists insulin and glucagon as the hormones involved in blood glucose control.
Question 110,"When taking an endocrine history, which finding did the teacher specifically include as important to ask about?",Hand dominance,Sleep pattern,Favorite foods only,Visual acuity only,B,The assessment slide lists sleep pattern as one of the important history areas.
Question 111,"During the physical assessment of a patient with a possible thyroid disorder, the nurse should auscultate the thyroid for which sound?",Crackles,Murmur,Bruit,Friction rub,C,The physical assessment slide specifically says to auscultate the thyroid for a bruit.
Question 112,"When palpating the thyroid, which characteristics should the nurse assess?",Pupil response and gait,"Size, symmetry, shape, nodules, and texture",Reflexes and hearing,Peripheral pulses only,B,"The physical assessment slide lists size, symmetry, shape, nodules, and texture."
Question 113,Which laboratory studies were stressed as the major thyroid hormone tests?,"BUN, creatinine, and calcium","TSH, T3, and T4","Hgb, Hct, and platelets","AST, ALT, and bilirubin",B,"The diagnostic studies slide specifically lists TSH, T3, and T4."
Question 114,"Which imaging study did the lecture repeatedly emphasize as an easy, noninvasive way to look at endocrine organs such as the thyroid?",PET scan,Ultrasound,Bone scan,Angiography,B,The lecture repeatedly stressed ultrasound as the easiest noninvasive imaging study for many endocrine organs.
Question 115,The hypothalamus is best described as:,A gland above the kidneys,The structure under the thalamus that regulates other endocrine glands,The posterior thyroid lobe,A pancreatic structure that secretes insulin,B,The hypothalamus and pituitary slide states that the hypothalamus is under the thalamus and its hormones act directly on other endocrine glands.
Question 116,The pituitary gland is located where?,At the base of the brain,In the thyroid,On top of each kidney,In the left upper quadrant of the abdomen,A,The pituitary slide states that the pituitary gland is located at the base of the brain.
Question 117,Hypopituitarism usually becomes clinically obvious after what happens?,The posterior pituitary enlarges,The majority of the anterior pituitary becomes nonfunctional or destroyed,The thyroid gland is removed,The adrenal medulla stops making catecholamines,B,The hypopituitarism slide states that onset is gradual and occurs after the majority of the anterior pituitary is nonfunctional or destroyed.
Question 118,Which finding is most consistent with low ACTH in hypopituitarism?,Hypernatremia,Hypoglycemia,Polyuria,Hypercalcemia,B,The ACTH hypopituitarism slide lists hypoglycemia as a manifestation of decreased glucocorticoids.
Question 119,"A patient with hypopituitarism develops hyponatremia, hypotension, and hyperkalemia. Deficiency of which hormone is most related to these findings?",Growth hormone,ACTH,FSH,TSH,B,"The ACTH slide links decreased mineralocorticoids with hyponatremia, hypotension, and hyperkalemia."
Question 120,Which finding is expected with growth hormone deficiency in hypopituitarism?,Increased bone density,Decreased bone density,Exophthalmos,Hypertension,B,"The growth hormone hypopituitarism slide states decreased bone density, decreased muscle strength, and increased fracture risk."
Question 121,A female patient with hypopituitarism has irregular menses and decreased ovulation. This is most related to deficiency of:,LH,ADH,Calcitonin,Insulin,A,The luteinizing hormone slide lists irregular menses or amenorrhea and decreased ovulation in females.
Question 122,A male patient with hypopituitarism has decreased sperm production. Which pituitary hormone deficiency is most related?,TSH deficiency,FSH deficiency,ACTH deficiency,ADH deficiency,B,"The FSH slide states that in males, decreased sperm production is associated with low follicle-stimulating hormone."
Question 123,"A patient with hypopituitarism has weight gain, thinning hair, and decreased libido due to low T3 and T4. Which hormone is deficient?",TSH,PTH,GH,Prolactin,A,"The TSH slide lists decreased T3 and T4, decreased metabolic rate, weight gain, thinning of hair, and decreased libido."
Question 124,Which diagnostic tests are specifically listed for hypopituitarism?,"ACTH stimulation test, hormone levels, CT, and MRI",Only chest x-ray and ECG,Only thyroid ultrasound,Urine catecholamines only,A,"The diagnosis slide lists ACTH stimulation test, TSH/FSH/LH/prolactin/growth hormone, CT scan, and MRI."
Question 125,What is the major life-threatening complication emphasized with panhypopituitarism?,Hyperthermia,Seizures from hypercalcemia,Severe hypotension and circulatory collapse,Kidney stones,C,The complications slide states patients are at risk for severe hypotension and circulatory collapse due to lack of ACTH and aldosterone production.
Question 126,Which nursing action was emphasized for hypopituitarism with decreased growth hormone?,Restrict calcium,Increase vitamin D and calcium intake,Encourage bed rest only,Avoid physical therapy,B,The nursing actions slide says to increase vitamin D and calcium intake to treat osteoporosis secondary to decreased growth hormone.
Question 127,The teacher emphasized that patients taking hormone supplements for hypopituitarism should usually take them when?,At bedtime,At noon with lunch,In the morning,Only on alternating days,C,The teaching slide states to take hormone supplements in the morning to mimic normal release.
Question 128,Hyperpituitarism is usually related to what cause?,Autoimmune destruction,Hypersecreting tumor,Lack of iodine intake,Loss of parathyroid tissue,B,The hyperpituitarism slide states it is usually related to a hypersecreting tumor.
Question 129,Which condition can result from excess growth hormone in an adult?,Tetany,Acromegaly,Myxedema,Addisonian crisis,B,The slide on characteristics of acromegaly states that acromegaly in adults is due to excess growth hormone production.
Question 130,Which findings are expected with excess ACTH in hyperpituitarism?,Hypoglycemia and hypotension,"Hyperglycemia, hypernatremia, hypertension, and hypokalemia",Low metabolic rate and weight gain,Tetany and laryngospasm,B,"The ACTH hyperpituitarism slide lists hyperglycemia, increased cortisol, hypernatremia, hypertension, and hypokalemia."
Question 131,Which assessment finding best matches excess TSH in hyperpituitarism?,Weight gain and cold intolerance,Decreased T3 and T4,Weight loss and exophthalmos,Bronzed skin,C,"The TSH hyperpituitarism slide lists increased T3/T4, increased metabolic rate, weight loss, and exophthalmos."
Question 132,Which medications inhibit release of anterior pituitary hormones and growth hormone in hyperpituitarism?,Levothyroxine and insulin,Dopamine agonists and somatostatin analogs,Calcium gluconate and vitamin D,Furosemide and oral phosphates,B,The medications slide lists dopamine agonists and somatostatin analogs.
Question 133,Which surgical procedure was emphasized as treatment for hypersecreting pituitary tumors?,Parathyroidectomy,Adrenalectomy,Transsphenoidal hypophysectomy,Whipple procedure,C,The surgical management slide lists transsphenoidal hypophysectomy for pituitary tumor removal.
Question 134,"After transsphenoidal hypophysectomy, which finding suggests postoperative diabetes insipidus?",Weight gain with concentrated urine,"Hypotension, tachycardia, and large amounts of dilute urine",Bradycardia with edema,Tetany and positive Chvostek sign,B,The post-op slide states hypotension and tachycardia may be seen with DI and intake/output shows large amounts of dilute urine.
Question 135,Which urine-specific gravity strongly suggests diabetes insipidus after pituitary surgery?,1.03,1.02,Less than 1.005,Greater than 1.040,C,The slides repeatedly emphasize urine-specific gravity less than 1.005 as a key indicator of DI.
Question 136,Which medication may be ordered after transsphenoidal hypophysectomy to treat diabetes insipidus?,Methimazole,Desmopressin,Hydrocortisone,Aminoglutethimide,B,The post-op and DI slides state that desmopressin or vasopressin may be given to cause water reabsorption.
Question 137,Which patient teaching is correct after transsphenoidal hypophysectomy?,Cough forcefully every hour,Bend at the waist to reduce stiffness,Report any increase in clear nasal drainage,Use a hard toothbrush for oral care,C,The teaching slide states to report increased clear fluid from the nose because it may indicate a CSF leak.
Question 138,Central diabetes insipidus is caused by:,Excess insulin from the pancreas,Lack of ADH production related to the hypothalamus/posterior pituitary,Excess parathyroid hormone,Thyroid hormone excess,B,The DI slide states central DI involves decreased ADH from the posterior pituitary and lack of ADH production in the hypothalamus.
Question 139,Which set of findings best matches diabetes insipidus?,"Polyuria, polydipsia, low urine specific gravity, and hypernatremia","Weight gain, bradycardia, and low sodium","Moon face, hypokalemia, and hypertension","Tetany, low calcium, and laryngospasm",A,"The DI slides emphasize polyuria, polydipsia, hypotension/tachycardia, hypernatremia, and urine specific gravity less than 1.005."
Question 140,Which statement best describes Addison's disease from the lecture?,Excessive circulating glucocorticoids,Adrenal cortical insufficiency with decreased glucocorticoids and mineralocorticoids,Excess catecholamine secretion,Excess thyroid hormone,B,The adrenal cortical insufficiency slides describe Addison's disease as decreased glucocorticoid and mineralocorticoid secretion.
Question 141,Which finding is classic for adrenal cortical insufficiency?,Moon face,Bronzed hyperpigmentation,Exophthalmos,Tetany,B,"The clinical manifestations slide for adrenal insufficiency lists darkened, bronzed hyperpigmentation."
Question 142,Which medication was emphasized as treatment for adrenal cortical insufficiency because it has both glucocorticoid and mineralocorticoid actions?,Methimazole,Hydrocortisone,Desmopressin,Levothyroxine,B,The adrenal insufficiency medication slide specifically states hydrocortisone has both glucocorticoid and mineralocorticoid actions.
Question 143,A patient in adrenal crisis needs which priority treatment according to the lecture?,Oral calcium,IV corticosteroid administration,Antithyroid medication,Eye lubricant,B,The lecture and adrenal insufficiency action slide stress that definitive treatment of acute adrenal insufficiency is IV cortisone/corticosteroid administration.
Question 144,"Which disorder is associated with moon face, buffalo hump, truncal obesity, hyperglycemia, and fluid retention?",Addison's disease,Cushing's disease,Hypothyroidism,Hypoparathyroidism,B,"The hypercortisolism slides emphasize abnormal fat distribution, moon face, buffalo hump, hyperglycemia, and fluid retention in Cushing's disease."
Question 145,Which lab abnormality was linked to adrenal cortex hyperfunction?,Hypoglycemia,Hypocalcemia,Hypokalemia,Low cortisol,C,The adrenal cortex hyperfunction slides repeatedly mention hypokalemia related to excess glucocorticoid/mineralocorticoid effect.
Question 146,Which clinical presentation is most classic for pheochromocytoma?,"Sudden hypertension, tachycardia, and severe headaches","Weight gain, bradycardia, and cold intolerance",Tetany and muscle spasms,Polyuria with dilute urine,A,"The pheochromocytoma slides list sudden hypertension, tachycardia, severe headaches, palpitations, and hyperhidrosis."
Question 147,What is the definitive treatment for pheochromocytoma?,Thyroidectomy,Adrenalectomy,Parathyroidectomy,Long-term levothyroxine,B,The pheochromocytoma surgical management slide states adrenalectomy is the definitive treatment.
Question 148,Which laboratory pattern is expected in primary hypothyroidism?,"Low TSH, high T3/T4","High TSH, low T3/T4","High calcium, low phosphate","Low sodium, high potassium",B,"The lecture repeatedly stressed that in primary hypothyroidism, TSH is high because the body is trying to stimulate more thyroid hormone, while T3/T4 are low."
Question 149,Which severe complication of hypothyroidism did the teacher stress as a major emergency?,Thyroid storm,Myxedema coma,Pheochromocytoma crisis,HHS,B,The hypothyroidism complication slide and lecture emphasize myxedema coma as the major emergency.
Question 150,"A patient has exophthalmos, weight loss, increased appetite, and insomnia. Which disorder best matches the slide sequence review?",Hypothyroidism,Hyperparathyroidism,Graves' disease/hyperthyroidism,Hypopituitarism,C,"The hyperthyroidism slides list weight loss, nervousness, insomnia, increased appetite, and exophthalmos, and the teacher stressed Graves' disease as the most common cause."
